OBJECTID,DES,Name,EWZ,Gesamt_Maennlich,M_Unter_3,M_3_bis_5,M_6_bis_14,M_15_bis_17,M_18_bis_24,M_25_bis_29,M_30_bis_39,M_40_bis_49,M_50_bis_64,M_65_bis_74,M_75_und_aelter,Gesamt_Weiblich,W_Unter_3,W_3_bis_5,W_6_bis_14,W_15_bis_17,W_18_bis_24,W_25_bis_29,W_30_bis_39,W_40_bis_49,W_50_bis_64,W_65_bis_74,W_75_und_aelter,Shape__Area,Shape__Length
1,Freie Hansestadt,Bremen,650863,316102,8116,8144,25928,9005,29119,24073,41530,51381,61356,35429,22021,334761,7523,7392,24147,8625,29543,22594,39183,50299,65089,39835,40531,1119886858.81982,339661.606794185
2,Land,Rheinland-Pfalz,3989808,1950352,48641,50442,177253,65631,169751,114749,219122,336223,420293,203196,145051,2039456,45517,47224,167922,61959,164643,112745,223031,331107,421447,225295,238566,47833205992.8604,1770320.41803565
3,Land,Nordrhein-Westfalen,17538251,8517934,219530,228440,798541,284163,736897,515517,1011856,1487632,1735256,887535,612567,9020318,208081,216420,758986,270978,709498,518468,1034894,1461855,1788258,1016166,1036714,87835816933.7227,2647460.62240152
4,Freie und Hansestadt,Hamburg,1706696,825451,24592,23535,68410,22247,65318,64069,131132,143686,146514,84092,51856,881245,23165,22040,64066,19992,73007,72244,127106,136985,154675,94379,93586,2129316991.95752,363047.456150787
5,Land,Schleswig-Holstein,2800119,1360484,34369,36551,128582,45583,111361,71552,150860,239649,277519,167090,97368,1439635,31827,33404,123198,43331,105634,74320,156945,242921,285499,181315,161241,355450314.726563,546095.276256214
6,Land,Baden-Württemberg,10486660,5132555,138095,142779,493470,176760,461058,323892,626092,878952,1014073,521676,355708,5354105,131133,136570,466691,167190,440934,321334,633238,858899,1039660,581919,576537,81517422854.1719,2545303.01417209
7,Land,Mecklenburg-Vorpommern,1609982,793140,19405,18958,56409,14829,66738,54212,93037,133248,188063,91915,56326,816841,19257,18530,53852,13961,59672,47389,81064,127413,187584,107787,100332,627920741.617188,463254.252486049
8,Land,Brandenburg,2455780,1208327,29213,29470,90054,24240,91613,72452,137005,216030,282067,148502,87681,1247453,27728,28049,85307,22530,81541,63783,129369,209856,280356,169634,149300,79802141304.0469,2557418.11315086
9,Land,Hessen,5971816,2913862,78019,80210,264978,91457,241379,178645,362051,511159,594948,305387,205629,3057954,73636,75055,253098,88470,233943,181509,373783,499942,609489,334903,334126,52362715856.4609,2136979.73932432
10,Land,Berlin,3292365,1599653,48501,44467,122315,37646,131625,129760,233279,276984,306935,175707,92434,1692712,46366,42286,116856,35946,139787,133794,231006,262704,317756,200381,165830,2402597014.52246,363643.578178996
11,Land,Niedersachsen,7777992,3803776,95455,101321,366871,131465,323085,211641,436107,660603,783061,420637,273530,3974216,90280,95390,349796,124781,303517,211018,439177,652701,786211,461437,459908,130271549206.953,3965778.50620206
12,Land,Baden-Württemberg,10486660,5132555,138095,142779,493470,176760,461058,323892,626092,878952,1014073,521676,355708,5354105,131133,136570,466691,167190,440934,321334,633238,858899,1039660,581919,576537,98614734.8017578,123083.804566865
13,Land,Saarland,999623,485050,10200,10769,39749,15378,41109,29367,51824,81940,111644,54093,38977,514573,10330,10508,37603,14521,38536,26883,53174,82277,113354,62069,65318,6060606467.08252,563151.707724811
14,Land,Niedersachsen,7777992,3803776,95455,101321,366871,131465,323085,211641,436107,660603,783061,420637,273530,3974216,90280,95390,349796,124781,303517,211018,439177,652701,786211,461437,459908,66427660.1108398,103560.528474634
15,Freie Hansestadt,Bremen,650863,316102,8116,8144,25928,9005,29119,24073,41530,51381,61356,35429,22021,334761,7523,7392,24147,8625,29543,22594,39183,50299,65089,39835,40531,50387249.0957031,50417.1147823084
16,Land,Sachsen-Anhalt,2287040,1117016,25912,25843,76669,20330,88834,72754,130049,188136,260092,142426,85971,1170024,24864,24314,72060,19871,81465,62791,112585,179812,264703,167873,159686,54173318359.4297,1902037.9751408
17,Land,Schleswig-Holstein,2800119,1360484,34369,36551,128582,45583,111361,71552,150860,239649,277519,167090,97368,1439635,31827,33404,123198,43331,105634,74320,156945,242921,285499,181315,161241,45820230864.0854,2710275.22969796
18,Freistaat,Sachsen,4056799,1977567,52696,50586,140301,35027,155486,138113,246539,316300,429198,250364,162957,2079232,49259,47328,133879,33471,145413,120997,218659,296345,440782,296384,296715,46629791047.1162,2034811.35820509
19,Land,Mecklenburg-Vorpommern,1609982,793140,19405,18958,56409,14829,66738,54212,93037,133248,188063,91915,56326,816841,19257,18530,53852,13961,59672,47389,81064,127413,187584,107787,100332,65839698741.5547,4092839.70644133
20,Freistaat,Bayern,12397614,6062701,159792,163937,559735,201177,525372,380058,761016,1057019,1219132,627148,408315,6334913,151577,155435,530413,189238,508507,383254,764069,1032377,1239890,695686,684467,163485722965.018,3893759.19991677
21,Freistaat,Thüringen,2188589,1076074,25814,25394,75898,20285,86743,74552,130777,176183,249727,131244,79457,1112515,25332,24077,71524,18663,78962,63312,113502,167650,251642,153025,144826,40681012142.0352,1987523.67935592
